method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed,env_type
正常-SCCS融合,212,0.84,42,8,22,14.8,0,0,2666,42,正常-SCCS融合
正常-SCCS融合,236,0.9,45,5,12,10.16,0,0,3727,123,正常-SCCS融合
正常-SCCS融合,218,0.78,39,11,28,3.7599999999999993,0,0,4337,456,正常-SCCS融合
正常-SCCS融合,252,0.66,33,17,5,13.36,0,0,3807,789,正常-SCCS融合
正常-SCCS融合,229,0.76,38,12,22,11.36,0,0,2501,100,正常-SCCS融合
正常-SCCS融合,166,0.96,48,2,16,7.2,0,0,2916,200,正常-SCCS融合
正常-SCCS融合,214,1.0,50,0,6,2.8,0,0,4471,300,正常-SCCS融合
正常-SCCS融合,152,0.94,47,3,8,13.76,0,0,2065,400,正常-SCCS融合
正常-SCCS融合,180,1.0,50,0,11,6.4,0,0,2931,500,正常-SCCS融合
正常-SCCS融合,161,1.0,50,0,14,5.2,0,0,2177,600,正常-SCCS融合
正常-SCCS融合,154,0.98,49,1,7,1.2,0,0,2506,11,正常-SCCS融合
正常-SCCS融合,208,1.0,50,0,24,6.8,0,0,4116,22,正常-SCCS融合
正常-SCCS融合,186,0.94,47,3,9,13.2,0,0,4769,33,正常-SCCS融合
正常-SCCS融合,195,0.86,43,7,10,7.040000000000002,0,0,4000,44,正常-SCCS融合
正常-SCCS融合,149,1.0,50,0,1,7.6,0,0,3704,55,正常-SCCS融合
正常-SCCS融合,194,0.92,46,4,5,6.56,0,0,3373,66,正常-SCCS融合
正常-SCCS融合,185,1.0,50,0,10,8.4,0,0,2944,77,正常-SCCS融合
正常-SCCS融合,302,0.52,26,24,52,18.160000000000004,1,0,4763,88,正常-SCCS融合
正常-SCCS融合,159,0.92,46,4,14,9.2,0,0,2033,99,正常-SCCS融合
正常-SCCS融合,165,0.92,46,4,17,21.6,0,0,3335,111,正常-SCCS融合
正常-SCCS融合,199,0.82,41,9,26,19.76,0,0,3968,1000,正常-SCCS融合
正常-SCCS融合,234,0.74,37,13,30,3.84,0,0,3404,2000,正常-SCCS融合
正常-SCCS融合,194,1.0,50,0,15,9.2,0,0,2759,3000,正常-SCCS融合
正常-SCCS融合,174,0.98,49,1,1,4.8,0,0,2265,4000,正常-SCCS融合
正常-SCCS融合,144,1.0,50,0,23,0.4,0,0,2380,5000,正常-SCCS融合
正常-SCCS融合,194,1.0,50,0,19,14.0,0,0,3844,6000,正常-SCCS融合
正常-SCCS融合,131,0.96,48,2,11,0.8,0,0,2304,7000,正常-SCCS融合
正常-SCCS融合,168,1.0,50,0,6,8.0,0,0,2119,8000,正常-SCCS融合
正常-SCCS融合,219,1.0,50,0,17,14.8,0,0,3181,9000,正常-SCCS融合
正常-SCCS融合,209,0.94,47,3,12,32.56,0,0,2798,9999,正常-SCCS融合
正常-Greedy纯视觉,556,0.58,29,21,1,0.4,0,440,0,42,正常-Greedy纯视觉
正常-Greedy纯视觉,386,0.84,42,8,1,31.04,0,300,0,123,正常-Greedy纯视觉
正常-Greedy纯视觉,459,0.76,38,12,4,107.2,0,360,0,456,正常-Greedy纯视觉
正常-Greedy纯视觉,349,0.76,38,12,1,23.2,0,260,0,789,正常-Greedy纯视觉
正常-Greedy纯视觉,294,0.78,39,11,2,4.0,0,220,0,100,正常-Greedy纯视觉
正常-Greedy纯视觉,259,0.76,38,12,1,21.04,0,200,0,200,正常-Greedy纯视觉
正常-Greedy纯视觉,488,0.72,36,14,17,34.239999999999995,0,380,0,300,正常-Greedy纯视觉
正常-Greedy纯视觉,556,0.54,27,23,2,10.24,0,440,0,400,正常-Greedy纯视觉
正常-Greedy纯视觉,350,0.74,37,13,3,9.04,0,280,0,500,正常-Greedy纯视觉
正常-Greedy纯视觉,350,0.72,36,14,1,11.760000000000002,0,280,0,600,正常-Greedy纯视觉
正常-Greedy纯视觉,427,0.58,29,21,1,28.240000000000002,0,340,0,11,正常-Greedy纯视觉
正常-Greedy纯视觉,486,0.6,30,20,1,37.36,0,380,0,22,正常-Greedy纯视觉
正常-Greedy纯视觉,476,0.9,45,5,1,48.56,0,380,0,33,正常-Greedy纯视觉
正常-Greedy纯视觉,373,0.82,41,9,11,47.760000000000005,0,280,0,44,正常-Greedy纯视觉
正常-Greedy纯视觉,514,0.68,34,16,2,14.8,0,400,0,55,正常-Greedy纯视觉
正常-Greedy纯视觉,359,0.76,38,12,1,11.84,0,280,0,66,正常-Greedy纯视觉
正常-Greedy纯视觉,353,0.9,45,5,2,15.440000000000001,0,280,0,77,正常-Greedy纯视觉
正常-Greedy纯视觉,296,0.78,39,11,1,12.960000000000003,0,220,0,88,正常-Greedy纯视觉
正常-Greedy纯视觉,317,0.7,35,15,20,8.16,0,240,0,99,正常-Greedy纯视觉
正常-Greedy纯视觉,280,0.86,43,7,2,25.04,0,220,0,111,正常-Greedy纯视觉
正常-Greedy纯视觉,341,0.76,38,12,5,43.35999999999999,0,260,0,1000,正常-Greedy纯视觉
正常-Greedy纯视觉,472,0.74,37,13,2,15.440000000000001,0,360,0,2000,正常-Greedy纯视觉
正常-Greedy纯视觉,486,0.54,27,23,27,10.56,0,380,0,3000,正常-Greedy纯视觉
正常-Greedy纯视觉,339,0.86,43,7,1,37.440000000000005,0,260,0,4000,正常-Greedy纯视觉
正常-Greedy纯视觉,396,0.8,40,10,3,20.8,0,300,0,5000,正常-Greedy纯视觉
正常-Greedy纯视觉,518,0.62,31,19,3,56.16000000000001,0,400,0,6000,正常-Greedy纯视觉
正常-Greedy纯视觉,519,0.7,35,15,15,16.8,0,400,0,7000,正常-Greedy纯视觉
正常-Greedy纯视觉,449,0.62,31,19,2,24.24,0,340,0,8000,正常-Greedy纯视觉
正常-Greedy纯视觉,349,0.7,35,15,4,56.0,0,260,0,9000,正常-Greedy纯视觉
正常-Greedy纯视觉,280,0.84,42,8,1,18.639999999999997,0,220,0,9999,正常-Greedy纯视觉
扬尘-SCCS融合,214,0.84,42,8,22,14.8,0,0,2016,42,扬尘-SCCS融合
扬尘-SCCS融合,236,0.9,45,5,12,10.16,0,0,2856,123,扬尘-SCCS融合
扬尘-SCCS融合,220,0.78,39,11,28,3.7599999999999993,0,0,3179,456,扬尘-SCCS融合
扬尘-SCCS融合,236,0.68,34,16,5,9.2,1,0,2753,789,扬尘-SCCS融合
扬尘-SCCS融合,225,0.76,38,12,22,10.16,0,0,1874,100,扬尘-SCCS融合
扬尘-SCCS融合,178,0.96,48,2,16,6.0,0,0,2136,200,扬尘-SCCS融合
扬尘-SCCS融合,203,1.0,50,0,6,4.8,0,0,3065,300,扬尘-SCCS融合
扬尘-SCCS融合,155,0.94,47,3,8,12.559999999999999,0,0,1672,400,扬尘-SCCS融合
扬尘-SCCS融合,180,1.0,50,0,11,6.4,0,0,2227,500,扬尘-SCCS融合
扬尘-SCCS融合,161,1.0,50,0,14,5.2,0,0,1702,600,扬尘-SCCS融合
扬尘-SCCS融合,148,0.98,49,1,7,1.2,0,0,1884,11,扬尘-SCCS融合
扬尘-SCCS融合,204,1.0,50,0,24,6.8,0,0,2904,22,扬尘-SCCS融合
扬尘-SCCS融合,186,0.94,47,3,9,13.2,0,0,3571,33,扬尘-SCCS融合
扬尘-SCCS融合,199,0.86,43,7,10,5.4399999999999995,0,0,3076,44,扬尘-SCCS融合
扬尘-SCCS融合,149,1.0,50,0,1,7.6,0,0,2879,55,扬尘-SCCS融合
扬尘-SCCS融合,186,0.9,45,5,5,4.959999999999999,0,0,2477,66,扬尘-SCCS融合
扬尘-SCCS融合,185,1.0,50,0,10,8.4,0,0,2156,77,扬尘-SCCS融合
扬尘-SCCS融合,303,0.56,28,22,52,3.44,0,0,3540,88,扬尘-SCCS融合
扬尘-SCCS融合,171,0.92,46,4,14,12.8,0,0,1653,99,扬尘-SCCS融合
扬尘-SCCS融合,167,0.92,46,4,17,24.8,0,0,2543,111,扬尘-SCCS融合
扬尘-SCCS融合,210,0.8,40,10,26,15.84,0,0,2742,1000,扬尘-SCCS融合
扬尘-SCCS融合,234,0.74,37,13,30,5.04,0,0,2410,2000,扬尘-SCCS融合
扬尘-SCCS融合,194,1.0,50,0,15,12.4,0,0,2078,3000,扬尘-SCCS融合
扬尘-SCCS融合,195,0.98,49,1,1,3.6,0,0,1806,4000,扬尘-SCCS融合
扬尘-SCCS融合,156,1.0,50,0,23,1.2,0,0,1906,5000,扬尘-SCCS融合
扬尘-SCCS融合,199,1.0,50,0,19,13.2,0,0,2891,6000,扬尘-SCCS融合
扬尘-SCCS融合,139,0.96,48,2,11,0.8,0,0,1892,7000,扬尘-SCCS融合
扬尘-SCCS融合,172,1.0,50,0,6,1.6,0,0,1747,8000,扬尘-SCCS融合
扬尘-SCCS融合,247,0.98,49,1,17,14.0,0,0,2504,9000,扬尘-SCCS融合
