method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed,n_robots,base_method
SCCS N=3,284,0.8,40,10,15,16.666666666666668,0,0,2159,42,3,SCCS
SCCS N=3,351,0.76,38,12,23,10.888888888888888,0,0,3492,123,3,SCCS
SCCS N=3,263,0.74,37,13,23,2.8888888888888893,0,0,3358,456,3,SCCS
SCCS N=3,348,0.76,38,12,10,8.0,0,0,2985,789,3,SCCS
SCCS N=3,295,0.74,37,13,22,2.8888888888888893,0,0,2339,100,3,SCCS
SCCS N=3,221,0.86,43,7,16,20.22222222222222,0,0,2428,200,3,SCCS
SCCS N=3,302,0.94,47,3,28,4.222222222222222,0,0,3819,300,3,SCCS
SCCS N=3,239,0.86,43,7,21,6.888888888888888,0,0,1878,400,3,SCCS
SCCS N=3,264,0.84,42,8,11,8.0,0,0,2741,500,3,SCCS
SCCS N=3,307,0.9,45,5,1,2.0,0,0,2246,600,3,SCCS
SCCS N=3,307,0.86,43,7,20,6.888888888888889,0,0,3172,11,3,SCCS
SCCS N=3,248,1.0,50,0,25,38.22222222222222,0,0,3514,22,3,SCCS
SCCS N=3,294,0.76,38,12,24,1.5555555555555556,0,0,4555,33,3,SCCS
SCCS N=3,254,0.84,42,8,11,11.555555555555557,0,0,3443,44,3,SCCS
SCCS N=3,264,0.94,47,3,36,1.5555555555555554,0,0,4164,55,3,SCCS
SCCS N=3,283,0.68,34,16,31,1.5555555555555556,0,0,2707,66,3,SCCS
SCCS N=3,306,1.0,50,0,16,6.222222222222222,0,0,2498,77,3,SCCS
SCCS N=3,300,0.86,43,7,28,14.0,0,0,3058,88,3,SCCS
SCCS N=3,288,0.92,46,4,14,6.222222222222221,0,0,2082,99,3,SCCS
SCCS N=3,227,0.92,46,4,27,8.666666666666666,0,0,2653,111,3,SCCS
SCCS N=3,271,0.64,32,18,34,9.555555555555555,0,0,3396,1000,3,SCCS
SCCS N=3,245,0.88,44,6,20,21.555555555555554,0,0,2405,2000,3,SCCS
SCCS N=3,262,0.84,42,8,34,0.8888888888888888,0,0,2492,3000,3,SCCS
SCCS N=3,290,0.88,44,6,1,2.6666666666666665,0,0,2413,4000,3,SCCS
SCCS N=3,247,0.9,45,5,23,2.6666666666666665,0,0,2333,5000,3,SCCS
SCCS N=3,248,0.98,49,1,23,8.222222222222223,0,0,3007,6000,3,SCCS
SCCS N=3,240,0.94,47,3,27,21.555555555555557,0,0,2374,7000,3,SCCS
SCCS N=3,226,0.92,46,4,18,4.666666666666667,0,0,1803,8000,3,SCCS
SCCS N=3,273,0.98,49,1,17,8.222222222222223,0,0,3147,9000,3,SCCS
SCCS N=3,232,0.88,44,6,17,6.888888888888888,0,0,2192,9999,3,SCCS
Greedy N=3,556,0.54,27,23,4,4.222222222222222,0,132,0,42,3,Greedy
Greedy N=3,331,0.76,38,12,4,6.222222222222221,0,78,0,123,3,Greedy
Greedy N=3,298,0.86,43,7,4,48.22222222222222,0,66,0,456,3,Greedy
Greedy N=3,523,0.76,38,12,5,29.555555555555557,0,120,0,789,3,Greedy
Greedy N=3,291,0.76,38,12,2,38.22222222222222,0,66,0,100,3,Greedy
Greedy N=3,256,0.76,38,12,1,62.88888888888889,0,60,0,200,3,Greedy
Greedy N=3,347,0.84,42,8,6,49.555555555555564,0,78,0,300,3,Greedy
Greedy N=3,334,0.74,37,13,24,28.222222222222225,0,78,0,400,3,Greedy
Greedy N=3,398,0.44,22,28,3,28.666666666666668,0,90,0,500,3,Greedy
Greedy N=3,408,0.64,32,18,1,1.5555555555555556,0,96,0,600,3,Greedy
Greedy N=3,417,0.7,35,15,1,29.555555555555554,0,96,0,11,3,Greedy
Greedy N=3,414,0.6,30,20,11,37.55555555555556,0,96,0,22,3,Greedy
Greedy N=3,196,0.86,43,7,3,74.66666666666667,0,42,0,33,3,Greedy
Greedy N=3,146,0.92,46,4,17,11.555555555555555,0,30,0,44,3,Greedy
Greedy N=3,337,0.88,44,6,8,54.22222222222223,0,78,0,55,3,Greedy
Greedy N=3,425,0.78,39,11,7,3.555555555555556,0,102,0,66,3,Greedy
Greedy N=3,372,0.74,37,13,12,11.555555555555555,0,84,0,77,3,Greedy
