method,completion_step,coverage_rate,rescued,dead,response_step,load_variance,collision_count,comm_cost,marker_reads,seed
SCCS（完整）,212,0.84,42,8,22,14.8,0,0,2666,42
SCCS（完整）,236,0.9,45,5,12,10.16,0,0,3727,123
SCCS（完整）,218,0.78,39,11,28,3.7599999999999993,0,0,4337,456
SCCS（完整）,252,0.66,33,17,5,13.36,0,0,3807,789
SCCS（完整）,229,0.76,38,12,22,11.36,0,0,2501,100
SCCS（完整）,166,0.96,48,2,16,7.2,0,0,2916,200
SCCS（完整）,214,1.0,50,0,6,2.8,0,0,4471,300
SCCS（完整）,152,0.94,47,3,8,13.76,0,0,2065,400
SCCS（完整）,180,1.0,50,0,11,6.4,0,0,2931,500
SCCS（完整）,161,1.0,50,0,14,5.2,0,0,2177,600
SCCS（完整）,154,0.98,49,1,7,1.2,0,0,2506,11
SCCS（完整）,208,1.0,50,0,24,6.8,0,0,4116,22
SCCS（完整）,186,0.94,47,3,9,13.2,0,0,4769,33
SCCS（完整）,195,0.86,43,7,10,7.040000000000002,0,0,4000,44
SCCS（完整）,149,1.0,50,0,1,7.6,0,0,3704,55
SCCS（完整）,194,0.92,46,4,5,6.56,0,0,3373,66
SCCS（完整）,185,1.0,50,0,10,8.4,0,0,2944,77
SCCS（完整）,302,0.52,26,24,52,18.160000000000004,1,0,4763,88
SCCS（完整）,159,0.92,46,4,14,9.2,0,0,2033,99
SCCS（完整）,165,0.92,46,4,17,21.6,0,0,3335,111
SCCS（完整）,199,0.82,41,9,26,19.76,0,0,3968,1000
SCCS（完整）,234,0.74,37,13,30,3.84,0,0,3404,2000
SCCS（完整）,194,1.0,50,0,15,9.2,0,0,2759,3000
SCCS（完整）,174,0.98,49,1,1,4.8,0,0,2265,4000
SCCS（完整）,144,1.0,50,0,23,0.4,0,0,2380,5000
SCCS（完整）,194,1.0,50,0,19,14.0,0,0,3844,6000
SCCS（完整）,131,0.96,48,2,11,0.8,0,0,2304,7000
SCCS（完整）,168,1.0,50,0,6,8.0,0,0,2119,8000
SCCS（完整）,219,1.0,50,0,17,14.8,0,0,3181,9000
SCCS（完整）,209,0.94,47,3,12,32.56,0,0,2798,9999
Greedy,556,0.74,37,13,1,34.64,0,440,0,42
Greedy,179,0.92,46,4,1,14.64,0,140,0,123
